,,,,,Total,,Q1,Q2,Q3,Q4,,FY1,,,,,,,,,,,
4P,Category,Channel,,,,,,,,,,1Month,2Month,3Month,4Month,5Month,6Month,7Month,8Month,9Month,10Month,11Month,12Month
,,,,,,,2025-01-01,25/04,25/07,25/10,,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01
,,,,,,,2025-03-31,25/06,25/09,25/12,,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31
,,,,,,,,,,,,,,,,,,,,,,,
Event,,,,,,,,,,,,・New Year Sales,,"・Megawari
・DRUG/GMS/CVS Shelving Change",,,・Megawari,・PD,,・Megawari,,"・Megawari
・BF
・Best Cosme","・Megawari
・BF
・Best Cosme"
Product,,,,,,,,,,,,,,,,,,,,,,,
,Main,,,,,,,,,,,Serum,,,,,,,,,,,
,Sub,,,,,,,,,,,Mask,,,,,Mask & Toner,,,,,,
,Exclusive,,,,,,,,,,,Eye Phalt,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Promotion,,,,,"¥3,800,588,953",,"¥1,429,736,000","¥464,213,302","¥863,017,953","¥1,043,621,698",,"¥10,851,721","¥101,308,093","¥1,317,576,186","¥93,867,349","¥165,185,953","¥205,160,000","¥172,704,535","¥266,318,488","¥423,994,930","¥292,578,907","¥415,056,907","¥335,985,884"
,,,Roas,,315.7%,,48.6%,485.9%,465.8%,481.9%,,109.5%,35.2%,49.2%,228.7%,158.6%,867.2%,260.9%,200.5%,715.9%,260.1%,789.4%,295.1%
,Outbound,Mass,Total,,"¥1,923,000,000",,"¥1,343,000,000","¥185,000,000","¥175,000,000","¥220,000,000",,"¥9,000,000","¥93,000,000","¥1,241,000,000","¥35,000,000","¥90,000,000","¥60,000,000","¥35,000,000","¥90,000,000","¥50,000,000","¥90,000,000","¥90,000,000","¥40,000,000"
,,,└,Ambassador,"¥1,000,000,000",,"¥1,000,000,000",¥0,¥0,¥0,,,,"¥1,000,000,000",,,,,,,,,
,,,└,TV CM,"¥150,000,000",,"¥150,000,000",¥0,¥0,¥0,,,,"¥150,000,000",,,,,,,,,
,,,└,OOH/DOOH,"¥30,000,000",,"¥30,000,000",¥0,¥0,¥0,,,,"¥30,000,000",,,,,,,,,
,,,└,Top KOL,"¥300,000,000",,"¥70,000,000","¥65,000,000","¥65,000,000","¥100,000,000",,,"¥50,000,000","¥20,000,000","¥5,000,000","¥40,000,000","¥20,000,000","¥5,000,000","¥40,000,000","¥20,000,000","¥40,000,000","¥50,000,000","¥10,000,000"
,,,└,Youtube,"¥110,000,000",,"¥20,000,000","¥30,000,000","¥30,000,000","¥30,000,000",,,"¥10,000,000","¥10,000,000","¥10,000,000","¥10,000,000","¥10,000,000","¥10,000,000","¥10,000,000","¥10,000,000","¥10,000,000","¥10,000,000","¥10,000,000"
,,,└,Meta,"¥205,000,000",,"¥35,000,000","¥60,000,000","¥50,000,000","¥60,000,000",,,"¥20,000,000","¥15,000,000","¥10,000,000","¥30,000,000","¥20,000,000","¥10,000,000","¥30,000,000","¥10,000,000","¥30,000,000","¥20,000,000","¥10,000,000"
,,,└,X,"¥25,000,000",,"¥7,000,000","¥6,000,000","¥6,000,000","¥6,000,000",,,"¥2,000,000","¥5,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000"
,,,└,TikTok,"¥28,000,000",,"¥10,000,000","¥6,000,000","¥6,000,000","¥6,000,000",,,"¥5,000,000","¥5,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000"
,,,└,TikTok,¥0,,¥0,¥0,¥0,¥0,,,,,,,,,,,,,
,,,└,TikTok,¥0,,¥0,¥0,¥0,¥0,,,,,,,,,,,,,
,,,└,TikTok UGC,"¥75,000,000",,"¥21,000,000","¥18,000,000","¥18,000,000","¥18,000,000",,"¥9,000,000","¥6,000,000","¥6,000,000","¥6,000,000","¥6,000,000","¥6,000,000","¥6,000,000","¥6,000,000","¥6,000,000","¥6,000,000","¥6,000,000","¥6,000,000"
,EC,Qoo10,Total,,"¥197,651,163",,"¥15,219,140","¥45,064,465","¥64,829,581","¥72,537,977",,"¥197,651","¥395,302","¥14,626,186","¥790,605","¥790,605","¥43,483,256","¥988,256","¥988,256","¥62,853,070","¥1,383,558","¥69,770,860","¥1,383,558"
,,,Roas,,3333.3%,,3333.3%,3333.3%,3333.3%,3333.3%,,3333.3%,3333.3%,3333.3%,3333.3%,3333.3%,3333.3%,3333.3%,3333.3%,3333.3%,3333.3%,3333.3%,3333.3%
,,Amazon,Total,,"¥88,386,628",,"¥5,014,535","¥15,697,674","¥22,674,419","¥45,000,000",,"¥654,070","¥1,308,140","¥3,052,326","¥4,360,465","¥5,232,558","¥6,104,651","¥8,720,930","¥6,976,744","¥6,976,744","¥13,081,395","¥21,802,326","¥10,116,279"
,,,Roas,,986.7%,,765.2%,1000.0%,1000.0%,1000.0%,,400.0%,400.0%,1000.0%,1000.0%,1000.0%,1000.0%,1000.0%,1000.0%,1000.0%,1000.0%,1000.0%,1000.0%
,,Rakuten,Total,,"¥23,255,814",,"¥2,906,977","¥6,744,186","¥6,744,186","¥6,860,465",,"¥23,256","¥93,023","¥2,790,698","¥1,395,349","¥1,395,349","¥3,953,488","¥1,395,349","¥1,395,349","¥3,953,488","¥1,395,349","¥1,511,628","¥3,953,488"
,,,Roas,,1000.0%,,1000.0%,1000.0%,1000.0%,1000.0%,,1000.0%,1000.0%,1000.0%,1000.0%,1000.0%,1000.0%,1000.0%,1000.0%,1000.0%,1000.0%,1000.0%,1000.0%
,,TIkTok Shop,Total,,"¥325,581,395",,"¥17,255,814","¥52,093,023","¥86,930,233","¥169,302,326",,"¥976,744","¥6,511,628","¥9,767,442","¥16,279,070","¥16,279,070","¥19,534,884","¥39,069,767","¥22,790,698","¥25,069,767","¥39,069,767","¥48,837,209","¥81,395,349"
,,,Roas,,250.0%,,250.0%,250.0%,250.0%,250.0%,,250.0%,250.0%,250.0%,250.0%,250.0%,250.0%,250.0%,250.0%,250.0%,250.0%,250.0%,250.0%
,Offline,"Variety Store
incl Donki",Total,,"¥1,045,213,954",,"¥46,339,535","¥159,613,953","¥355,269,767","¥483,990,698",,¥0,¥0,"¥46,339,535","¥36,041,860","¥51,488,372","¥72,083,721","¥87,530,233","¥144,167,442","¥123,572,093","¥133,869,767","¥164,762,791","¥185,358,140"
,,,Roas,,246.3%,,166.7%,250.0%,250.0%,250.0%,,,,166.7%,250.0%,250.0%,250.0%,250.0%,250.0%,250.0%,250.0%,250.0%,250.0%
,,Drug Store,Total,,"¥197,500,000",,¥0,¥0,"¥151,569,767","¥45,930,233",,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥151,569,767","¥13,779,070","¥18,372,093","¥13,779,070"
,,,Roas,,1303.5%,,,,586.0%,2634.4%,,,,,,,,,,203.8%,2428.9%,2242.0%,3363.0%
,Offline,GMS,,,Budget,,,,,,,,,,,,,,,,,,
,,,,,Roas,,,,,,,,,,,,,,,,,,
,Offline,CVS,,,Budget,,,,,,,,,,,,,,,,,,
,,,,,Roas,,,,,,,,,,,,,,,,,,
Place × Sales,,Total,,,"¥12,000,000,000",,"¥695,118,605","¥2,255,834,884","¥4,019,974,419","¥5,029,072,093",,"¥11,879,070","¥35,618,605","¥647,620,930","¥214,713,953","¥262,051,163","¥1,779,069,767","¥450,604,651","¥534,058,140","¥3,035,311,628","¥761,025,581","¥3,276,555,814","¥991,490,698"
,EC,Qoo10,,,"¥6,588,372,093",,"¥507,304,651","¥1,502,148,837","¥2,160,986,047","¥2,417,932,558",,"¥6,588,372","¥13,176,744","¥487,539,535","¥26,353,488","¥26,353,488","¥1,449,441,860","¥32,941,860","¥32,941,860","¥2,095,102,326","¥46,118,605","¥2,325,695,349","¥46,118,605"
,,Amazon,,,"¥872,093,023",,"¥38,372,093","¥156,976,744","¥226,744,186","¥450,000,000",,"¥2,616,279","¥5,232,558","¥30,523,256","¥43,604,651","¥52,325,581","¥61,046,512","¥87,209,302","¥69,767,442","¥69,767,442","¥130,813,953","¥218,023,256","¥101,162,791"
,,Rakuten,,,"¥232,558,140",,"¥29,069,768","¥67,441,861","¥67,441,861","¥68,604,651",,"¥232,558","¥930,233","¥27,906,977","¥13,953,488","¥13,953,488","¥39,534,884","¥13,953,488","¥13,953,488","¥39,534,884","¥13,953,488","¥15,116,279","¥39,534,884"
,,TIkTok Shop,,,"¥813,953,488",,"¥43,139,535","¥130,232,558","¥217,325,581","¥423,255,814",,"¥2,441,860","¥16,279,070","¥24,418,605","¥40,697,674","¥40,697,674","¥48,837,209","¥97,674,419","¥56,976,744","¥62,674,419","¥97,674,419","¥122,093,023","¥203,488,372"
, Offline ,Variety,,,"¥2,574,418,605",,"¥77,232,558","¥399,034,884","¥888,174,419","¥1,209,976,744",,,,"¥77,232,558","¥90,104,651","¥128,720,930","¥180,209,302","¥218,825,581","¥360,418,605","¥308,930,233","¥334,674,419","¥411,906,977","¥463,395,349"
,,Drug,,,"¥918,604,651",,¥0,¥0,"¥459,302,326","¥459,302,326",,,,,,,,,,"¥459,302,326","¥137,790,698","¥183,720,930","¥137,790,698"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,累計,Qoo10,,,,,,,,,,"¥6,588,372","¥19,765,116","¥507,304,651","¥533,658,140","¥560,011,628","¥2,009,453,488","¥2,042,395,349","¥2,075,337,209","¥4,170,439,535","¥4,216,558,140","¥6,542,253,488","¥6,588,372,093"
,,Amazon,,,,,,,,,,"¥2,616,279","¥7,848,837","¥38,372,093","¥81,976,744","¥134,302,326","¥195,348,837","¥282,558,139","¥352,325,581","¥422,093,023","¥552,906,977","¥770,930,232","¥872,093,023"
,,Rakuten,,,,,,,,,,"¥232,558","¥1,162,791","¥29,069,768","¥43,023,256","¥56,976,744","¥96,511,628","¥110,465,117","¥124,418,605","¥163,953,489","¥177,906,977","¥193,023,256","¥232,558,140"
,,TIkTok Shop,,,,,,,,,,"¥2,441,860","¥18,720,930","¥43,139,535","¥83,837,209","¥124,534,884","¥173,372,093","¥271,046,512","¥328,023,256","¥390,697,674","¥488,372,093","¥610,465,116","¥813,953,488"
,,Variety,,,,,,,,,,,¥0,"¥77,232,558","¥167,337,209","¥296,058,140","¥476,267,442","¥695,093,023","¥1,055,511,628","¥1,364,441,861","¥1,699,116,279","¥2,111,023,256","¥2,574,418,605"
,,Drug,,,,,,,,,,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥459,302,326","¥597,093,023","¥780,813,954","¥918,604,651"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000"